Question,Reponse
Simplon.co est la première et seule formation en son genre,"Bien qu’elle se distingue par son format à la fois intensif, vraiment gratuit (voir « gratuité »), tourné vers les publics éloignés de l’emploi et sous-représentés dans le numérique, implanté dans les territoires les plus fragilisés et par la nature de son développement (croissance, internationalisation), Simplon n’est pas la première formation de ce type, ni la seule. Plusieurs autres formations existaient déjà en France avant l’apparition de Simplon.co en 2013, comme la Web@cadémie, R2K, 3WAcadémie ou encore Cefim et bien d’autres dans les territoires… d’autres se sont créées à peu près en même temps ou presque que Simplon.co, comme Le Wagon, l’école 42, Webforce3,… enfin, troisième catégorie : celle des formations qui se sont créées au contact de Simplon (copycats, forks ou franchisés s’étant autonomisés) : Wild Code School (auparavant Simplon Village dans le Perche), Pop School, Access Code School ou Pôle S,... et enfin dernière catégorie : toutes les formations montées dans le sillage du dispositif Grande École du Numérique. Toutes sont intéressantes, certaines sont innovantes, peu sont réellement gratuites comme Simplon, mais tous ensemble nous formons une véritable filière, riche et complémentaire, fournissant des solutions différentes, parfois articulées, en fonction de leur durée (entre 3 mois et 3 ans), des métiers visés (développeur, data analyste, technicien IA, etc.), des technologies (C, PHP, Ruby, Java,…), de leur pédagogie (descendante ou active, avec ou sans formateurs physiques, présentielle ou distancielle), toutes ne visent pas les mêmes publics et la plupart sont concentrées dans les grandes agglomérations alors que d’autres visent les territoires fragiles. Donc oui, Simplon.co est unique en son genre, à la fois véritablement ouverte à tous (sans distinction d’âge, de niveau scolaire et d’origine territoriale) et réellement et intégralement gratuite, et c’est également la seule qui intègre depuis son origine une préoccupation centrale concernant la représentation des effectifs féminins dans ces métiers peu féminisés (maintenant c’est la mode) : c’est également assez rare qu’on dispute à Simplon sa place dans des territoires complexes en lien avec la géographie prioritaire, la ruralité, les Outre-mer ou l’international. Certains de ses piliers pédagogiques comme le « learning by teaching » sont également très caractéristiques et originaux."
Simplon : c’est quoi la différence avec 42 ?,"C’est la question que tout le monde nous pose toujours ;-) et notre réponse est toujours la même depuis le lancement conjoint de Simplon et de 42 qui a été quasi simultané en 2013 : d’un côté c’est pas pareil, et d’un autre côté c’est pareil ! Pareil car nous appartenons à la même “vague”, à la même démarche visant à innover pour résoudre l’absurdité patente entre un besoin de compétences non satisfait et des talents gâchés car au chômage et potentiellement capables de se former… Pareil parce que gratuit ; pareil parce que maintenant 42 n’a plus de limite d’âge ; pareil parce qu’il y a une volonté d’innovation pédagogique. Mais pas pareil car 42 c’est minimum 2 voire 3 ans, ça forme pas des juniors comme nous mais bien des seniors multi-poly-compétents ; pas pareil car 42 c’est très élitiste dans l’approche et la sélection, pas pareil car la discrimination positive n’y a pas sa place pour viser particulièrement les femmes ou les personnes en difficulté ; pas pareil car il s’agit pas pour 42 d’essaimer dans les territoires déclassés ; pas pareil car il y a pas de profs en présentiel ;et pas pareil car ça n’a pas besoin d’un modèle économique tant que Xavier Niel finance tout. Donc voilà, c’est dit : vous n’entendrez personne à Simplon, dans les équipes salariées, les essaimages ou les apprenant.e.s dire du mal de 42 car on les kiffe, beaucoup de refoulés de la “piscine” viennent à Simplon, beaucoup de Simploniens rêvent de faire 42 après Simplon et certains le font ;) On a fait des hackathons avec eux, on est fier d’être avec eux dans “Grande École du Numérique”, etc. On a même eu des étudiants de 42 qui ont été profs à Simplon (coucou Sandro). Certains opérateurs, dans certains pays, comme OCP au Maroc, n’ont pas choisi et ont déployé nos deux modèles. Mais clairement, c’est pas la même came : ni dans le modèle, ni dans les gens qui y entrent, ni dans le profil de celles et ceux qui en sortent => “Born to code” c’est pas “In Code We Trust” mais on les kiffe quand même #basta"
La sélection et les critères pour rentrer à Simplon.co,"Les critères sociaux sont prépondérants et préalables pour accéder à nos formations qui sont réellement et intégralement gratuites, d’où le fait que nous souhaitons privilégier les demandeurs d’emploi (décrocheurs, ou longue durée), les personnes en reconversion et les seniors, les publics réfugiés ou primo-arrivants, les personnes en situation de handicap, les allocataires de minimas sociaux et les publics éloignés du numérique ou de l’emploi. Mais ce n’est pas suffisant car le nombre de places par session est malheureusement limité, aussi parce que 7 mois sans avoir forcément de revenus et assister à une formation intensive à plein temps et enfin parce que la pédagogie de Simplon est particulière et ne s’apparente pas à une pédagogie “scolaire” et donc ne convient pas à tout le monde. C’est donc au travers d’une sélection sur la base de la motivation, de l’appétence, de la capacité à travailler en équipe, de la prédisposition au métier numérique visé par la formation et de la compatibilité avec le modèle pédagogique (autonomie, pédagogies actives, mode projet, peer-learning,…) ainsi qu’à l’organisation de Simplon.co (pair programming, travail collaboratif) que se décide l’admission. Localement, en fonction des partenaires, des territoires et des financements, d’autres critères peuvent intervenir : âge (moins de 25 ans ou au contraire séniors), géographie (quartiers politique de la ville ou ruralité, résidence dans l’agglomération de la fabrique, etc.), niveaux d’études (pas de diplôme et décrocheur pour la Grande École du Numérique, BAC + 2 pour certaines formations, etc. La formation Simplon est donc à la fois inclusive et sélective, de 10 à 50% des candidatures selon les territoires et les sessions, mais ce n’est pas sur les critères habituels de niveau de diplôme, d’expérience, de test techniques ou de pré-requis. Et certaines populations (femmes, personnes issues des quartiers populaires, non bacheliers) sont clairement favorisées dans notre recrutement."
"Simplon.co, c’est pour les décrocheurs ou pour les jeunes des quartiers prioritaires","Là encore, ça dépend : certaines sessions sont « fléchées » sur ces publics spécifiques ou des territoires du fait de leur financement ou de leurs commanditaires, mais nous privilégions au maximum, dès que cela est possible, la mixité de genre, sociale, d’âge, d’origine sociale et géographique, etc. Nos sessions et nos centres de formation Simplon.co pratiquent donc le mélange : décrocheurs ET diplômés, ruraux ET péri-urbains, jeunes ET moins jeunes, garçons ET filles, etc. C’est le cas dans la plupart des fabriques Simplon et le résultat est stupéfiant, en termes de richesse pédagogique et socio-culturelle. Contrairement à d’autres formations, Simplon.co ne vise pas que des personnes originaires de quartiers prioritaires, ni uniquement les non-diplômés, ni les jeunes, mais bien tous ceux – et celles :-) – pour qui l’apprentissage de la programmation peut représenter un levier d’insertion, d’emploi et de création de valeur. Cette approche très élargie de la diversité, en tant que diversité incluant *vraiment* tout le monde et non seulement “les autres”, est au bénéfice des progressions pédagogiques individuelles de chacun des Simploniens et un parti-pris clair au coeur de l’ADN social de Simplon.co. C’est également pour cela que Simplon.co est présent dans les territoires ruraux, dans les Outre-mer mais pas seulement dans les quartiers populaires ou les grandes agglomérations."
Simplon.co fait de la discrimination positive,"On entend parfois que Simplon.co met sur le même plan les personnes défavorisées, les personnes en situation de handicap, les femmes et les seniors, ou que Simplon fait de la discrimination positive. C’est à la fois vrai, et faux ! La gratuité des formations Simplon.co nécessite qu’elles bénéficient avant tout à ceux qui en ont le plus besoin, et ce sont donc pour partie les critères sociaux qui déterminent le premier niveau d’éligibilité des candidatures aux formations longues présentielles de Simplon.co : boursier, demandeur d’emploi de longue durée, allocataires des minimas sociaux. Toutes les personnes dans ce cas peuvent postuler, et leur candidature est examinée de manière systématique au regard de la deuxième série de critères : nombre de « badges » passés sur des plateformes gratuites, motivation exprimée ou démontrée, prédispositions et appétences pour la programmation, etc. Ce n’est qu’ensuite que Simplon.co réalise une surpondération à partir de critères géographiques (quartiers prioritaires, zones rurales), d’origines sociales (milieux défavorisés, diversité), d’âge (jeunes et moins jeunes), de niveau scolaire (décrocheurs sans diplômes, décrocheurs bacheliers, diplômés de l’enseignement supérieur), et que les candidatures féminines sont favorisées (afin d’atteindre a minima 30 à 50% de Simploniens). Il ne s’agit donc pas de discrimination positive à proprement parler, mais plutôt de la volonté de créer la diversité la plus large possible, car elle génère une richesse humaine qui sert les progressions pédagogiques de chacun et la dynamique de groupe de tous, et de rétablir des asymétries manifestes. Face à des sous-représentations évidentes dans le secteur du numérique (genre, âge et diplôme principalement), il faut agir et c’est ce que nous faisons."
Le statut juridique et le modèle économique #WTF de Simplon.co,"Depuis 2014 et renouvelé en 2017, Simplon.co est une SAS agréée Entreprise Solidaire d’Utilité Sociale (ESUS) car elle a statutairement pris des engagements très forts en terme de lucrativité limitée, de gouvernance participative, d’encadrement d’échelle des salaires (entre le plus gros et le salaire minimum), de pratiques d’entreprises, RH et environnementales. Ce n’est donc pas une SCOP, une SCIC ou une association, ni une Fondation (bien que nous en ayons une abritée par FACE reconnue d’utilité générale), mais elle appartient clairement et délibérément au monde de l'Économie Sociale et Solidaire (ESS) dont nous essayons de porter haut les couleurs, que ce soit au Mouves, à Ashoka et partout, dès que cela est possible. Simplon ce n’est pas non plus une “école”, ni une entreprise d’insertion, ni un centre de formation en apprentissage et c’est tout ça à la fois. L’activité principale de Simplon.co est la formation continue, c’est donc juridiquement et en terme de modèle économique un organisme de formation, enregistré comme tel, une filiale, Simplon Prod – activité de production de sites web et d’applications mobiles employant des anciens Simploniens -, une SAS possédant des antennes conventionnée Entreprise d’Insertion et aussi une participation dans une filiale Entreprise Adaptée : NUMERIK-EA. Simplon.co ou ses essaimages peuvent être amenés à se définir autrement ou à prendre des formes juridiques différentes… Malgré tout, Simplon appartient à la grande famille de l’Économie Sociale et Solidaire, peut bénéficier de financements spécifiques ou percevoir certains types de subvention ou de mécénat, etc."
Simplon.co est subventionné aka n’a pas de modèle économique,"Le modèle économique de Simplon est hybride, comme la plupart des acteurs de l'Économie Sociale et Solidaire. Il intègre donc une part de subventions et de mécénat (qui est décroissante depuis 2013 60 > 50 > 40 > 35%). Contrairement à ce qui a parfois pu être entendu : la Ville de Montreuil, l’agglomération Est Ensemble ou le Conseil Départemental de Seine Saint-Denis n’ont que très peu subventionné Simplon.co (quelques dizaines de milliers d'euros tout compris depuis 2013) et Simplon.co est locataire de son siège et de toutes les autres implantations à Montreuil. C’est bien son modèle économique original qui tire le développement de Simplon et son impact social car il est composé des revenus issus de la prise en charge de ses actions de formation par Pôle Emploi, les OPCA (désormais OPCO) et les Régions, mais également de son réseau de porteurs de projets “franchisés”, des sponsoring d’entreprises et de prestations (Simplon Prod pour la production de sites web et d’applications mobiles et aussi la réalisation de hackathons, de programme d’acculturation et de formations pour des salariés et Simplon Corp pour les actions d’acculturation, de formation et de reconversion à destination des salariés fragilisés par le numérique) qui sont facturées à des clients publics, privés et non-marchands."
Simplon.co c’est dans le 18ème à Paris au métro Simplon,"On aurait envie de vous dire oui parce que le projet est effectivement né de multiples discussions qui ont eu lieu dans un appartement de la rue du Simplon dans le 18ème arrondissement de Paris, parce que le projet a même porté le nom de code “Silicon Simplon” en forme de pied de nez à l’omniprésence du 2ème arrondissement et de son “Silicon Sentier” sur la scène digitale francilienne, mais non… le siège social de Simplon, son centre de formation des formateurs des Fabriques Simplon sur les territoires et un de ses lieux d’activités principales est à Montreuil au métro Croix de Chavaux, en Seine-Saint-Denis ;-) On pourrait également vous dire que Simplon ça vient d’un col dans les Alpes où existe un monastère, que Napoléon y aurait gagné la bataille d’Italie, que depuis longtemps l’Orient Express y passe et que c’est pour cela qu’on l’appelle le Simplon Orient Express… Mais depuis novembre 2017 Simplon est désormais officiellement présent, grâce à la Ville de Paris, dans le 18ème arrondissement à la Halle Pajole. Et chose qui n'est due qu'au hasard, le président cofondateur de Simplon vit rue du Simplon ;-)"
"Simplon.co, c’est surtout (ou beaucoup) de com","Les fondateurs de Simplon.co se sont rencontrés au CELSA – la formation universitaire en communication et en journalisme qui dépend de la Sorbonne – soit parce qu’ils y étaient étudiants (Andrei Vladescu-Olt, Erwan Kezzar, Nicolas Danet), soit parce qu’ils y intervenaient, comme Frédéric Bardeau, mais l’équipe de départ comportait non seulement des développeurs (chevronnés comme Andrei, en formation comme Victor) mais surtout que des passionnés d’Internet voyant dans le réseau un levier de changement social et de pouvoir d’agir individuel. Ensuite, après la création en mode “bootstrap”, c’est effectivement une forte médiatisation qui a porté Simplon - comme 42 d’ailleurs - et qui a permis la notoriété du modèle au bénéfice du recrutement de candidats, de partenaires et de soutiens publics. Mais dès l’origine, Simplon s’est distingué par ses résultats et son impact social, visibles à la fois dans les publics recrutés (peu ou pas diplômés, féminisés), le taux de sortie positive post-formation (important), la dynamique de croissance forte de son essaimage dans les territoires, son rôle de plaidoyer dont le bénéfice a dépassé Simplon (Grande École du Numérique, code à l’école,…), etc. Donc résumer Simplon à “de la com” est au mieux un faux procès, au pire une forme de jalousie mal placée. La médiatisation de Simplon.co est elle aussi destinée à augmenter son impact social et à attirer des candidats qui ne sont pas « dans les radars » de Pôle Emploi. D’où le sentiment d’omniprésence et l’agacement que peut parfois susciter Simplon.co. Et pour finir, on vous invite à regarder un documentaire de 30 minutes sur nous et qui nous a permis d’avoir énormément de candidatures pour nos formations en Ile-de-France :

Et pour savoir ce que la Président & cofondateur de Simplon pense de sa propre médiatisation, regardez ce qu’il a écrit là."
Simplon.co ne s’intéresse ou ne forme qu’au métier de développeur,"Historiquement c’était vrai, Simplon.co s’est positionné sur un référentiel de formation de développeur web et mobile, suivant en cela les précédents américains (« bootcamps ») et les initiatives pionnières qui existaient déjà en France. Et ça reste une part importante de nos formations, parce que c’est le métier le plus en tension dans le domaine du numérique, mais le référentiel a été rapidement déployé sous différentes versions (Ruby, PHP, Java, JS), sous différentes modalités (qualifiante ou certifiante) et avec des approches métiers différenciées (full stack, back-end, front-end, intégration, CMS,…). Mais très rapidement, constatant à la fois que le métier de développeur exige des qualités particulières qui ne sont pas à portée de tous les profils, que les Simploniens formés en tant que développeurs exerçaient des métiers différents une fois employés, et enfin que d’autres métiers du numérique étaient également en tension – et permettaient donc de proposer des parcours d’insertion plus inclusifs -, Simplon.co a investigué d’autres référentiels de formation. Référent numérique, data analyste, Wordpress/CMS, DevOps, Cybersécurité, technicien data IA, Adminsys, etc. Enfin, Simplon.co explore en partenariat avec des entreprises et d’autres organismes de formation des référentiels de formation autour des technologies Mainframe, FTTH, fab manager,…"
